"uuid","muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"917-20200331","917","Heerlen",24,87057,27.6,"2020-03-31"
"1658-20200331","1658","Heeze-Leende",5,16150,31,"2020-03-31"
"399-20200331","399","Heiloo",5,23974,20.9,"2020-03-31"
"163-20200331","163","Hellendoorn",3,35923,8.4,"2020-03-31"
"530-20200331","530","Hellevoetsluis",4,40158,10,"2020-03-31"
"794-20200331","794","Helmond",35,92432,37.9,"2020-03-31"
"531-20200331","531","Hendrik-Ido-Ambacht",3,31204,9.6,"2020-03-31"
"164-20200331","164","Hengelo",6,81147,7.4,"2020-03-31"
"1966-20200331","1966","The Hogeland",4,47834,8.4,"2020-03-31"
"252-20200331","252","Heumen",7,16450,42.6,"2020-03-31"
"797-20200331","797","Heusden",22,44699,49.2,"2020-03-31"
"534-20200331","534","Hillegom",3,22208,13.5,"2020-03-31"
"798-20200331","798","Hilvarenbeek",4,15514,25.8,"2020-03-31"
"402-20200331","402","Hilversum",13,90883,14.3,"2020-03-31"
"1963-20200331","1963","Hoeksche Waard",29,87461,33.2,"2020-03-31"
"1735-20200331","1735","Hof van Twente",8,35013,22.8,"2020-03-31"
"1911-20200331","1911","Hollands Kroon",17,48434,35.1,"2020-03-31"
"118-20200331","118","Hoogeveen",4,55697,7.2,"2020-03-31"
"405-20200331","405","Hoorn",13,73232,17.8,"2020-03-31"
"1507-20200331","1507","Horst aan de Maas",21,42433,49.5,"2020-03-31"
"321-20200331","321","Houten",9,50146,17.9,"2020-03-31"
"406-20200331","406","Houses",9,41273,21.8,"2020-03-31"
"677-20200331","677","Hulst",4,27556,14.5,"2020-03-31"
"353-20200331","353","IJsselstein",18,34110,52.8,"2020-03-31"
"1884-20200331","1884","Kaag en Braassem",4,27300,14.7,"2020-03-31"
"166-20200331","166","Kampen",34,54340,62.6,"2020-03-31"
"678-20200331","678","Kapelle",1,12691,7.9,"2020-03-31"
"537-20200331","537","Katwijk",8,65754,12.2,"2020-03-31"
"928-20200331","928","Kerkrade",10,45744,21.9,"2020-03-31"
"1598-20200331","1598","Koggenland",4,22752,17.6,"2020-03-31"
"542-20200331","542","Krimpen aan den IJssel",2,29533,6.8,"2020-03-31"
"1931-20200331","1931","Krimpenerwaard",22,56319,39.1,"2020-03-31"
"1659-20200331","1659","Laarbeek",18,22530,79.9,"2020-03-31"
"1685-20200331","1685","Landerd",20,15730,127.1,"2020-03-31"
"882-20200331","882","Landgraaf",7,37457,18.7,"2020-03-31"
"415-20200331","415","Landsmeer",3,11492,26.1,"2020-03-31"
"416-20200331","416","Langedijk",6,28157,21.3,"2020-03-31"
"1621-20200331","1621","Lansingerland",15,62396,24,"2020-03-31"
"417-20200331","417","Laren",5,11274,44.3,"2020-03-31"
"80-20200331","80","Leeuwarden",16,124058,12.9,"2020-03-31"
"546-20200331","546","Leiden",16,125174,12.8,"2020-03-31"
"547-20200331","547","Leiderdorp",5,27059,18.5,"2020-03-31"
"1916-20200331","1916","Leidschendam-Voorburg",7,76553,9.1,"2020-03-31"
"995-20200331","995","Lelystad",24,78619,30.5,"2020-03-31"
"1640-20200331","1640","Leudal",32,35896,89.1,"2020-03-31"
"327-20200331","327","Leusden",5,30399,16.4,"2020-03-31"
"1705-20200331","1705","Lingewaard",14,46606,30,"2020-03-31"
"553-20200331","553","Lisse",3,22957,13.1,"2020-03-31"
"262-20200331","262","Lochem",2,33730,5.9,"2020-03-31"
"809-20200331","809","Loon op Zand",15,23407,64.1,"2020-03-31"
"331-20200331","331","Lopik",11,14471,76,"2020-03-31"
"24-20200331","24","Loppersum",0,9533,0,"2020-03-31"
"168-20200331","168","Losser",2,22685,8.8,"2020-03-31"
"263-20200331","263","Maasdriel",9,25034,36,"2020-03-31"
"1641-20200331","1641","Maasgouw",10,23960,41.7,"2020-03-31"
"556-20200331","556","Maassluis",8,33216,24.1,"2020-03-31"
"935-20200331","935","Maastricht",25,121558,20.6,"2020-03-31"
"420-20200331","420","Medemblik",9,45104,20,"2020-03-31"
"938-20200331","938","Meerssen",3,18832,15.9,"2020-03-31"
"1948-20200331","1948","Meierijstad",110,81197,135.5,"2020-03-31"
"119-20200331","119","Meppel",3,33902,8.8,"2020-03-31"
"687-20200331","687","Middelburg",10,48810,20.5,"2020-03-31"
"1842-20200331","1842","Midden-Delfland",1,19344,5.2,"2020-03-31"
"1731-20200331","1731","Midden-Drenthe",4,33182,12.1,"2020-03-31"
"1952-20200331","1952","Midden-Groningen",4,60804,6.6,"2020-03-31"
"815-20200331","815","Mill en Sint Hubert",6,10941,54.8,"2020-03-31"
"1709-20200331","1709","Moerdijk",5,37136,13.5,"2020-03-31"
"1978-20200331","1978","Molenlanden",9,43931,20.5,"2020-03-31"
"1955-20200331","1955","Montferland",3,36009,8.3,"2020-03-31"
"335-20200331","335","Montfoort",9,13920,64.7,"2020-03-31"
"944-20200331","944","Mook en Middelaar",3,7847,38.2,"2020-03-31"
"1740-20200331","1740","Neder-Betuwe",22,24342,90.4,"2020-03-31"
"946-20200331","946","Nederweert",22,17022,129.2,"2020-03-31"
"356-20200331","356","Nieuwegein",15,63461,23.6,"2020-03-31"
"569-20200331","569","Nieuwkoop",4,28809,13.9,"2020-03-31"
"267-20200331","267","Nijkerk",10,43176,23.2,"2020-03-31"
"268-20200331","268","Nijmegen",72,177698,40.5,"2020-03-31"
"1930-20200331","1930","Nissewaard",19,85237,22.3,"2020-03-31"
"1970-20200331","1970","Noardeast-Fryslân",4,45251,8.8,"2020-03-31"
"1695-20200331","1695","Noord-Beveland",0,7395,0,"2020-03-31"
"1699-20200331","1699","Noordenveld",1,31242,3.2,"2020-03-31"
"171-20200331","171","Noordoostpolder",6,47262,12.7,"2020-03-31"
"575-20200331","575","Noordwijk",8,43528,18.4,"2020-03-31"
"820-20200331","820","Nuenen, Gerwen en Nederwetten",7,23379,29.9,"2020-03-31"
"302-20200331","302","Nunspeet",15,27845,53.9,"2020-03-31"
"579-20200331","579","Oegstgeest",3,24843,12.1,"2020-03-31"
"823-20200331","823","Oirschot",6,18723,32,"2020-03-31"
"824-20200331","824","Oisterwijk",9,26241,34.3,"2020-03-31"
"1895-20200331","1895","Oldambt",1,38213,2.6,"2020-03-31"
"269-20200331","269","Oldebroek",6,23645,25.4,"2020-03-31"
"173-20200331","173","Oldenzaal",8,31832,25.1,"2020-03-31"
"1773-20200331","1773","Olst-Wijhe",5,18251,27.4,"2020-03-31"
"175-20200331","175","Ommen",4,18007,22.2,"2020-03-31"
"1586-20200331","1586","Oost Gelre",2,29623,6.8,"2020-03-31"
"826-20200331","826","Oosterhout",23,55990,41.1,"2020-03-31"
"85-20200331","85","Ooststellingwerf",1,25472,3.9,"2020-03-31"
"431-20200331","431","Oostzaan",2,9733,20.5,"2020-03-31"
"432-20200331","432","Opmeer",1,11837,8.4,"2020-03-31"
"86-20200331","86","Opsterland",4,29742,13.4,"2020-03-31"
"828-20200331","828","Oss",73,91932,79.4,"2020-03-31"
"1509-20200331","1509","Oude IJsselstreek",2,39392,5.1,"2020-03-31"
"437-20200331","437","Ouder-Amstel",3,14029,21.4,"2020-03-31"
"589-20200331","589","Oudewater",15,10226,146.7,"2020-03-31"
"1734-20200331","1734","Overbetuwe",32,47909,66.8,"2020-03-31"
"590-20200331","590","Papendrecht",0,32133,0,"2020-03-31"
"1894-20200331","1894","Peel en Maas",103,43420,237.2,"2020-03-31"
"765-20200331","765","Pekela",3,12199,24.6,"2020-03-31"
"1926-20200331","1926","Pijnacker-Nootdorp",9,55329,16.3,"2020-03-31"
"439-20200331","439","Purmerend",35,81233,43.1,"2020-03-31"
"273-20200331","273","Putten",1,24113,4.1,"2020-03-31"
"177-20200331","177","Raalte",14,37709,37.1,"2020-03-31"
"703-20200331","703","Reimerswaal",4,22728,17.6,"2020-03-31"
"274-20200331","274","Renkum",10,31404,31.8,"2020-03-31"
"339-20200331","339","Renswoude",1,5448,18.4,"2020-03-31"
"1667-20200331","1667","Reusel-De Mierden",1,13110,7.6,"2020-03-31"
"275-20200331","275","Rheden",20,43736,45.7,"2020-03-31"
"340-20200331","340","Rhenen",2,20125,9.9,"2020-03-31"
"597-20200331","597","Ridderkerk",18,46204,39,"2020-03-31"
"1742-20200331","1742","Rijssen-Holten",8,38178,21,"2020-03-31"
"603-20200331","603","Rijswijk",12,54432,22,"2020-03-31"
"1669-20200331","1669","Roerdalen",13,20572,63.2,"2020-03-31"
"957-20200331","957","Roermond",25,58254,42.9,"2020-03-31"
"1674-20200331","1674","Roosendaal",11,77226,14.2,"2020-03-31"
"599-20200331","599","Rotterdam",120,651376,18.4,"2020-03-31"
"277-20200331","277","Rozendaal",1,1705,58.7,"2020-03-31"
"840-20200331","840","Rucphen",3,22873,13.1,"2020-03-31"
"518-20200331","518","s-Gravenhage",81,545163,14.9,"2020-03-31"
"441-20200331","441","Schagen",10,46482,21.5,"2020-03-31"
"279-20200331","279","Scherpenzeel",0,9880,0,"2020-03-31"
"606-20200331","606","Schiedam",19,78739,24.1,"2020-03-31"
"88-20200331","88","Schiermonnikoog",0,947,0,"2020-03-31"
"1676-20200331","1676","Schouwen-Duiveland",6,33858,17.7,"2020-03-31"
"965-20200331","965","Simpelveld",2,10552,19,"2020-03-31"
"1702-20200331","1702","Sint Anthonis",14,11672,119.9,"2020-03-31"
"845-20200331","845","Sint-Michielsgestel",14,29203,47.9,"2020-03-31"
"1883-20200331","1883","Sittard-Geleen",24,92422,26,"2020-03-31"
"610-20200331","610","Sliedrecht",1,25217,4,"2020-03-31"
"1714-20200331","1714","Sluis",4,23217,17.2,"2020-03-31"
"90-20200331","90","Smallingerland",5,56154,8.9,"2020-03-31"
"342-20200331","342","Soest",9,46607,19.3,"2020-03-31"
"847-20200331","847","Someren",8,19376,41.3,"2020-03-31"
"848-20200331","848","Son en Breugel",15,17321,86.6,"2020-03-31"
"37-20200331","37","Stadskanaal",0,31688,0,"2020-03-31"
"180-20200331","180","Staphorst",1,17144,5.8,"2020-03-31"
"532-20200331","532","Stede Broec",10,21734,46,"2020-03-31"
"851-20200331","851","Steenbergen",7,24501,28.6,"2020-03-31"
"1708-20200331","1708","Steenwijkerland",6,44139,13.6,"2020-03-31"
"971-20200331","971","Stein",11,25000,44,"2020-03-31"
"1904-20200331","1904","Stichtse Vecht",16,64928,24.6,"2020-03-31"
"1900-20200331","1900","Súdwest-Fryslân",12,89987,13.3,"2020-03-31"
"715-20200331","715","Terneuzen",11,54438,20.2,"2020-03-31"
"93-20200331","93","Terschelling",0,4889,0,"2020-03-31"
"448-20200331","448","Texel",1,13573,7.4,"2020-03-31"
"1525-20200331","1525","Teylingen",6,37426,16,"2020-03-31"
"716-20200331","716","Tholen",20,25758,77.6,"2020-03-31"
"281-20200331","281","Tiel",21,42161,49.8,"2020-03-31"
"855-20200331","855","Tilburg",115,219800,52.3,"2020-03-31"
"183-20200331","183","Tubbergen",7,21279,32.9,"2020-03-31"
"1700-20200331","1700","Twenterand",5,33743,14.8,"2020-03-31"
"1730-20200331","1730","Tynaarlo",5,33879,14.8,"2020-03-31"
"737-20200331","737","Tytsjerksteradiel",1,32046,3.1,"2020-03-31"
"856-20200331","856","Uden",67,42122,159.1,"2020-03-31"
"450-20200331","450","Uitgeest",3,13649,22,"2020-03-31"
"451-20200331","451","Uithoorn",9,29466,30.5,"2020-03-31"
"184-20200331","184","Urk",11,21033,52.3,"2020-03-31"
"344-20200331","344","Utrecht",75,357694,21,"2020-03-31"
"1581-20200331","1581","Utrechtse Heuvelrug",11,49601,22.2,"2020-03-31"
"981-20200331","981","Vaals",2,10099,19.8,"2020-03-31"
"994-20200331","994","Valkenburg aan de Geul",2,16360,12.2,"2020-03-31"
"858-20200331","858","Valkenswaard",6,31200,19.2,"2020-03-31"
"47-20200331","47","Veendam",1,27387,3.7,"2020-03-31"
"345-20200331","345","Veenendaal",7,66491,10.5,"2020-03-31"
"717-20200331","717","Veere",3,21885,13.7,"2020-03-31"
"861-20200331","861","Veldhoven",7,45458,15.4,"2020-03-31"
"453-20200331","453","Velsen",13,68660,18.9,"2020-03-31"
"983-20200331","983","Venlo",64,101797,62.9,"2020-03-31"
"984-20200331","984","Venray",22,43604,50.5,"2020-03-31"
"1961-20200331","1961","Vijfheerenlanden",11,56816,19.4,"2020-03-31"
"622-20200331","622","Vlaardingen",12,73445,16.3,"2020-03-31"
"96-20200331","96","Vlieland",0,1152,0,"2020-03-31"
"718-20200331","718","Vlissingen",5,44365,11.3,"2020-03-31"
"986-20200331","986","Voerendaal",2,12471,16,"2020-03-31"
"626-20200331","626","Voorschoten",4,25603,15.6,"2020-03-31"
"285-20200331","285","Voorst",3,24546,12.2,"2020-03-31"
"865-20200331","865","Vught",23,26554,86.6,"2020-03-31"
"1949-20200331","1949","Waadhoeke",2,46079,4.3,"2020-03-31"
"866-20200331","866","Waalre",0,17454,0,"2020-03-31"
"867-20200331","867","Waalwijk",16,48620,32.9,"2020-03-31"
"627-20200331","627","Waddinxveen",4,29293,13.7,"2020-03-31"
"289-20200331","289","Wageningen",5,39673,12.6,"2020-03-31"
"629-20200331","629","Wassenaar",2,26214,7.6,"2020-03-31"
"852-20200331","852","Waterland",8,17422,45.9,"2020-03-31"
"988-20200331","988","Weert",27,50107,53.9,"2020-03-31"
"457-20200331","457","Weesp",2,19729,10.1,"2020-03-31"
"1960-20200331","1960","West Betuwe",12,51198,23.4,"2020-03-31"
"668-20200331","668","West Maas en Waal",9,19320,46.6,"2020-03-31"
"1969-20200331","1969","Westerkwartier",9,63375,14.2,"2020-03-31"
"1701-20200331","1701","Westerveld",1,19460,5.1,"2020-03-31"
"293-20200331","293","Westervoort",2,14973,13.4,"2020-03-31"
"1950-20200331","1950","Westerwolde",4,25796,15.5,"2020-03-31"
"1783-20200331","1783","Westland",25,110357,22.7,"2020-03-31"
"98-20200331","98","Weststellingwerf",2,25916,7.7,"2020-03-31"
"614-20200331","614","Westvoorne",4,14728,27.2,"2020-03-31"
"189-20200331","189","Wierden",2,24440,8.2,"2020-03-31"
"296-20200331","296","Wijchen",27,41124,65.7,"2020-03-31"
"1696-20200331","1696","Wijdemeren",3,24360,12.3,"2020-03-31"
"352-20200331","352","Wijk bij Duurstede",5,23910,20.9,"2020-03-31"
"294-20200331","294","Winterswijk",1,28865,3.5,"2020-03-31"
"873-20200331","873","Woensdrecht",4,21883,18.3,"2020-03-31"
"632-20200331","632","Woerden",22,52294,42.1,"2020-03-31"
"880-20200331","880","Wormerland",8,16299,49.1,"2020-03-31"
"351-20200331","351","Woudenberg",2,13362,15,"2020-03-31"
"479-20200331","479","Zaanstad",32,156711,20.4,"2020-03-31"
"297-20200331","297","Zaltbommel",8,28901,27.7,"2020-03-31"
"473-20200331","473","Zandvoort",4,17116,23.4,"2020-03-31"
"50-20200331","50","Zeewolde",3,22656,13.2,"2020-03-31"
"355-20200331","355","Zeist",12,64932,18.5,"2020-03-31"
"299-20200331","299","Zevenaar",16,43740,36.6,"2020-03-31"
"637-20200331","637","Zoetermeer",21,125283,16.8,"2020-03-31"
"638-20200331","638","Zoeterwoude",2,8611,23.2,"2020-03-31"
"1892-20200331","1892","Zuidplas",9,43894,20.5,"2020-03-31"
"879-20200331","879","Zundert",13,21821,59.6,"2020-03-31"
"301-20200331","301","Zutphen",5,47942,10.4,"2020-03-31"
"1896-20200331","1896","Zwartewaterland",20,22690,88.1,"2020-03-31"
"642-20200331","642","Zwijndrecht",9,44741,20.1,"2020-03-31"
"193-20200331","193","Zwolle",24,128831,18.6,"2020-03-31"
"796-20200401","796","'s-Hertogenbosch",69,155113,44.5,"2020-04-01"
"1680-20200401","1680","Aa and Hunze",1,25453,3.9,"2020-04-01"
"358-20200401","358","Aalsmeer",5,31857,15.7,"2020-04-01"
"197-20200401","197","Aalten",1,27117,3.7,"2020-04-01"
"59-20200401","59","Achtkarspelen",0,27836,0,"2020-04-01"
"482-20200401","482","Alblasserdam",2,20165,9.9,"2020-04-01"
"613-20200401","613","Albrandswaard",5,25589,19.5,"2020-04-01"
"361-20200401","361","Alkmaar",21,109444,19.2,"2020-04-01"
"141-20200401","141","Almelo",10,73080,13.7,"2020-04-01"
"34-20200401","34","Almere",50,211840,23.6,"2020-04-01"
"484-20200401","484","Alphen aan den Rijn",32,111889,28.6,"2020-04-01"
"1723-20200401","1723","Alphen-Chaam",9,10213,88.1,"2020-04-01"
"1959-20200401","1959","Altena",19,55980,33.9,"2020-04-01"
"60-20200401","60","Ameland",0,3718,0,"2020-04-01"
"307-20200401","307","Amersfoort",24,157279,15.3,"2020-04-01"
"362-20200401","362","Amstelveen",31,91691,33.8,"2020-04-01"
"363-20200401","363","Amsterdam",246,872779,28.2,"2020-04-01"
"200-20200401","200","Apeldoorn",22,163829,13.4,"2020-04-01"
"3-20200401","3","Appingedam",1,11644,8.6,"2020-04-01"
"202-20200401","202","Arnhem",30,161368,18.6,"2020-04-01"
"106-20200401","106","Axles",7,68606,10.2,"2020-04-01"
"743-20200401","743","Asten",5,16734,29.9,"2020-04-01"
"744-20200401","744","Baarle-Nassau",1,6860,14.6,"2020-04-01"
"308-20200401","308","Baarn",2,24873,8,"2020-04-01"
"489-20200401","489","Barendrecht",17,48713,34.9,"2020-04-01"
"203-20200401","203","Barneveld",8,59077,13.5,"2020-04-01"
"888-20200401","888","Beek",0,15868,0,"2020-04-01"
"1954-20200401","1954","Beekdaelen",12,35976,33.4,"2020-04-01"
"370-20200401","370","Beemster",2,10025,20,"2020-04-01"
"889-20200401","889","Beesel",10,13483,74.2,"2020-04-01"
"1945-20200401","1945","Berg en Dal",17,34990,48.6,"2020-04-01"
"1724-20200401","1724","Bergeijk",5,18638,26.8,"2020-04-01"
"893-20200401","893","Bergen (L.)",3,13085,22.9,"2020-04-01"
"373-20200401","373","Bergen (NH.)",10,29844,33.5,"2020-04-01"
"748-20200401","748","Bergen op Zoom",13,67489,19.3,"2020-04-01"
"1859-20200401","1859","Berkelland",1,43748,2.3,"2020-04-01"
"1721-20200401","1721","Bernheze",61,31247,195.2,"2020-04-01"
"753-20200401","753","Best",19,29985,63.4,"2020-04-01"
"209-20200401","209","Beuningen",12,25891,46.3,"2020-04-01"
"375-20200401","375","Beverwijk",7,41613,16.8,"2020-04-01"
"1728-20200401","1728","Bladel",10,20395,49,"2020-04-01"
"376-20200401","376","Blaricum",2,11536,17.3,"2020-04-01"
"377-20200401","377","Bloemendaal",3,23570,12.7,"2020-04-01"
"1901-20200401","1901","Bodegraven-Reeuwijk",3,34869,8.6,"2020-04-01"
"755-20200401","755","Boekel",23,10784,213.3,"2020-04-01"
"1681-20200401","1681","Borger-Odoorn",1,25558,3.9,"2020-04-01"
"147-20200401","147","Borne",10,23313,42.9,"2020-04-01"
"654-20200401","654","Borsele",3,22738,13.2,"2020-04-01"
"756-20200401","756","Boxmeer",10,29371,34,"2020-04-01"
"757-20200401","757","Boxtel",9,30803,29.2,"2020-04-01"
"758-20200401","758","Breda",118,184271,64,"2020-04-01"
