"muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"935","Maastricht",99,121558,81.4,"2020-04-05"
"420","Medemblik",10,45104,22.2,"2020-04-05"
"938","Meerssen",10,18832,53.1,"2020-04-05"
"1948","Meierijstad",144,81197,177.3,"2020-04-05"
"119","Meppel",4,33902,11.8,"2020-04-05"
"687","Middelburg",13,48810,26.6,"2020-04-05"
"1842","Midden-Delfland",3,19344,15.5,"2020-04-05"
"1731","Midden-Drenthe",6,33182,18.1,"2020-04-05"
"1952","Midden-Groningen",4,60804,6.6,"2020-04-05"
"815","Mill en Sint Hubert",7,10941,64,"2020-04-05"
"1709","Moerdijk",7,37136,18.8,"2020-04-05"
"1978","Molenlanden",14,43931,31.9,"2020-04-05"
"1955","Montferland",5,36009,13.9,"2020-04-05"
"335","Montfoort",11,13920,79,"2020-04-05"
"944","Mook en Middelaar",3,7847,38.2,"2020-04-05"
"1740","Neder-Betuwe",28,24342,115,"2020-04-05"
"946","Nederweert",25,17022,146.9,"2020-04-05"
"356","Nieuwegein",22,63461,34.7,"2020-04-05"
"569","Nieuwkoop",6,28809,20.8,"2020-04-05"
"267","Nijkerk",18,43176,41.7,"2020-04-05"
"268","Nijmegen",89,177698,50.1,"2020-04-05"
"1930","Nissewaard",24,85237,28.2,"2020-04-05"
"1970","Noardeast-Fryslân",4,45251,8.8,"2020-04-05"
"1695","Noord-Beveland",0,7395,0,"2020-04-05"
"1699","Noordenveld",1,31242,3.2,"2020-04-05"
"171","Noordoostpolder",8,47262,16.9,"2020-04-05"
"575","Noordwijk",9,43528,20.7,"2020-04-05"
"820","Nuenen, Gerwen en Nederwetten",12,23379,51.3,"2020-04-05"
"302","Nunspeet",20,27845,71.8,"2020-04-05"
"579","Oegstgeest",5,24843,20.1,"2020-04-05"
"823","Oirschot",9,18723,48.1,"2020-04-05"
"824","Oisterwijk",10,26241,38.1,"2020-04-05"
"1895","Oldambt",1,38213,2.6,"2020-04-05"
"269","Oldebroek",10,23645,42.3,"2020-04-05"
"173","Oldenzaal",11,31832,34.6,"2020-04-05"
"1773","Olst-Wijhe",6,18251,32.9,"2020-04-05"
"175","Ommen",6,18007,33.3,"2020-04-05"
"1586","Oost Gelre",4,29623,13.5,"2020-04-05"
"826","Oosterhout",25,55990,44.7,"2020-04-05"
"85","Ooststellingwerf",1,25472,3.9,"2020-04-05"
"431","Oostzaan",5,9733,51.4,"2020-04-05"
"432","Opmeer",1,11837,8.4,"2020-04-05"
"86","Opsterland",5,29742,16.8,"2020-04-05"
"828","Oss",100,91932,108.8,"2020-04-05"
"1509","Oude IJsselstreek",4,39392,10.2,"2020-04-05"
"437","Ouder-Amstel",4,14029,28.5,"2020-04-05"
"589","Oudewater",18,10226,176,"2020-04-05"
"1734","Overbetuwe",43,47909,89.8,"2020-04-05"
"590","Papendrecht",3,32133,9.3,"2020-04-05"
"1894","Peel en Maas",118,43420,271.8,"2020-04-05"
"765","Pekela",4,12199,32.8,"2020-04-05"
"1926","Pijnacker-Nootdorp",13,55329,23.5,"2020-04-05"
"439","Purmerend",47,81233,57.9,"2020-04-05"
"273","Putten",1,24113,4.1,"2020-04-05"
"177","Raalte",18,37709,47.7,"2020-04-05"
"703","Reimerswaal",4,22728,17.6,"2020-04-05"
"274","Renkum",11,31404,35,"2020-04-05"
"339","Renswoude",3,5448,55.1,"2020-04-05"
"1667","Reusel-De Mierden",7,13110,53.4,"2020-04-05"
"275","Rheden",28,43736,64,"2020-04-05"
"340","Rhenen",3,20125,14.9,"2020-04-05"
"597","Ridderkerk",26,46204,56.3,"2020-04-05"
"1742","Rijssen-Holten",16,38178,41.9,"2020-04-05"
"603","Rijswijk",14,54432,25.7,"2020-04-05"
"1669","Roerdalen",19,20572,92.4,"2020-04-05"
"957","Roermond",37,58254,63.5,"2020-04-05"
"1674","Roosendaal",15,77226,19.4,"2020-04-05"
"599","Rotterdam",181,651376,27.8,"2020-04-05"
"277","Rozendaal",1,1705,58.7,"2020-04-05"
"840","Rucphen",6,22873,26.2,"2020-04-05"
"518","s-Gravenhage",130,545163,23.8,"2020-04-05"
"441","Schagen",13,46482,28,"2020-04-05"
"279","Scherpenzeel",0,9880,0,"2020-04-05"
"606","Schiedam",24,78739,30.5,"2020-04-05"
"88","Schiermonnikoog",0,947,0,"2020-04-05"
"1676","Schouwen-Duiveland",8,33858,23.6,"2020-04-05"
"965","Simpelveld",14,10552,132.7,"2020-04-05"
"1702","Sint Anthonis",15,11672,128.5,"2020-04-05"
"845","Sint-Michielsgestel",17,29203,58.2,"2020-04-05"
"1883","Sittard-Geleen",68,92422,73.6,"2020-04-05"
"610","Sliedrecht",4,25217,15.9,"2020-04-05"
"1714","Sluis",4,23217,17.2,"2020-04-05"
"90","Smallingerland",6,56154,10.7,"2020-04-05"
"342","Soest",14,46607,30,"2020-04-05"
"847","Someren",20,19376,103.2,"2020-04-05"
"848","Son en Breugel",22,17321,127,"2020-04-05"
"37","Stadskanaal",0,31688,0,"2020-04-05"
"180","Staphorst",4,17144,23.3,"2020-04-05"
"532","Stede Broec",13,21734,59.8,"2020-04-05"
"851","Steenbergen",8,24501,32.7,"2020-04-05"
"1708","Steenwijkerland",8,44139,18.1,"2020-04-05"
"971","Stein",28,25000,112,"2020-04-05"
"1904","Stichtse Vecht",22,64928,33.9,"2020-04-05"
"1900","Súdwest-Fryslân",13,89987,14.4,"2020-04-05"
"715","Terneuzen",15,54438,27.6,"2020-04-05"
"93","Terschelling",0,4889,0,"2020-04-05"
"448","Texel",3,13573,22.1,"2020-04-05"
"1525","Teylingen",11,37426,29.4,"2020-04-05"
"716","Tholen",30,25758,116.5,"2020-04-05"
"281","Tiel",26,42161,61.7,"2020-04-05"
"855","Tilburg",144,219800,65.5,"2020-04-05"
"183","Tubbergen",9,21279,42.3,"2020-04-05"
"1700","Twenterand",8,33743,23.7,"2020-04-05"
"1730","Tynaarlo",7,33879,20.7,"2020-04-05"
"737","Tytsjerksteradiel",3,32046,9.4,"2020-04-05"
"856","Uden",82,42122,194.7,"2020-04-05"
"450","Uitgeest",3,13649,22,"2020-04-05"
"451","Uithoorn",9,29466,30.5,"2020-04-05"
"184","Urk",14,21033,66.6,"2020-04-05"
"344","Utrecht",120,357694,33.5,"2020-04-05"
"1581","Utrechtse Heuvelrug",16,49601,32.3,"2020-04-05"
"981","Vaals",7,10099,69.3,"2020-04-05"
"994","Valkenburg aan de Geul",10,16360,61.1,"2020-04-05"
"858","Valkenswaard",10,31200,32.1,"2020-04-05"
"47","Veendam",1,27387,3.7,"2020-04-05"
"345","Veenendaal",12,66491,18,"2020-04-05"
"717","Veere",3,21885,13.7,"2020-04-05"
"861","Veldhoven",15,45458,33,"2020-04-05"
"453","Velsen",18,68660,26.2,"2020-04-05"
"983","Venlo",85,101797,83.5,"2020-04-05"
"984","Venray",29,43604,66.5,"2020-04-05"
"1961","Vijfheerenlanden",16,56816,28.2,"2020-04-05"
"622","Vlaardingen",20,73445,27.2,"2020-04-05"
"96","Vlieland",0,1152,0,"2020-04-05"
"718","Vlissingen",6,44365,13.5,"2020-04-05"
"986","Voerendaal",9,12471,72.2,"2020-04-05"
"626","Voorschoten",7,25603,27.3,"2020-04-05"
"285","Voorst",7,24546,28.5,"2020-04-05"
"865","Vught",27,26554,101.7,"2020-04-05"
"1949","Waadhoeke",6,46079,13,"2020-04-05"
"866","Waalre",3,17454,17.2,"2020-04-05"
"867","Waalwijk",17,48620,35,"2020-04-05"
"627","Waddinxveen",8,29293,27.3,"2020-04-05"
"289","Wageningen",8,39673,20.2,"2020-04-05"
"629","Wassenaar",2,26214,7.6,"2020-04-05"
"852","Waterland",9,17422,51.7,"2020-04-05"
"988","Weert",37,50107,73.8,"2020-04-05"
"457","Weesp",5,19729,25.3,"2020-04-05"
"1960","West Betuwe",21,51198,41,"2020-04-05"
"668","West Maas en Waal",11,19320,56.9,"2020-04-05"
"1969","Westerkwartier",11,63375,17.4,"2020-04-05"
"1701","Westerveld",3,19460,15.4,"2020-04-05"
"293","Westervoort",4,14973,26.7,"2020-04-05"
"1950","Westerwolde",5,25796,19.4,"2020-04-05"
"1783","Westland",33,110357,29.9,"2020-04-05"
"98","Weststellingwerf",2,25916,7.7,"2020-04-05"
"614","Westvoorne",5,14728,33.9,"2020-04-05"
"189","Wierden",2,24440,8.2,"2020-04-05"
"296","Wijchen",33,41124,80.2,"2020-04-05"
"1696","Wijdemeren",5,24360,20.5,"2020-04-05"
"352","Wijk bij Duurstede",8,23910,33.5,"2020-04-05"
"294","Winterswijk",1,28865,3.5,"2020-04-05"
"873","Woensdrecht",4,21883,18.3,"2020-04-05"
"632","Woerden",31,52294,59.3,"2020-04-05"
"880","Wormerland",12,16299,73.6,"2020-04-05"
"351","Woudenberg",6,13362,44.9,"2020-04-05"
"479","Zaanstad",71,156711,45.3,"2020-04-05"
"297","Zaltbommel",13,28901,45,"2020-04-05"
"473","Zandvoort",7,17116,40.9,"2020-04-05"
"50","Zeewolde",6,22656,26.5,"2020-04-05"
"355","Zeist",23,64932,35.4,"2020-04-05"
"299","Zevenaar",26,43740,59.4,"2020-04-05"
"637","Zoetermeer",28,125283,22.3,"2020-04-05"
"638","Zoeterwoude",2,8611,23.2,"2020-04-05"
"1892","Zuidplas",12,43894,27.3,"2020-04-05"
"879","Zundert",14,21821,64.2,"2020-04-05"
"301","Zutphen",10,47942,20.9,"2020-04-05"
"1896","Zwartewaterland",22,22690,97,"2020-04-05"
"642","Zwijndrecht",11,44741,24.6,"2020-04-05"
"193","Zwolle",35,128831,27.2,"2020-04-05"
